#=====================================================
# File created:        Sun-05-Nov-2023-at-04-04-56PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.748018
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2549.8533  0.2665 
   00001    0.6652   -3766.9818  0.2693 
   00002    0.6064   -4508.9702  0.2896 
   00003    0.5996   -5109.2593  0.2911 
   00004    0.5528   -5502.3258  0.2956 
   00005    0.5304   -5828.9529  0.3092 
   00006    0.5288   -6074.7650  0.3112 
   00007    0.5144   -6311.8653  0.3131 
   00008    0.5028   -6490.2417  0.3204 
   00009    0.5064   -6737.1360  0.3296 
   00010    0.4816   -6888.4057  0.3331 
   00011    0.4732   -7008.0318  0.3364 
   00012    0.4804   -7094.3481  0.3457 
   00013    0.4816   -7224.0547  0.3583 
   00014    0.4516   -7323.6836  0.3637 
   00015    0.4552   -7335.9860  0.3753 
   00016    0.4652   -7383.8652  0.3775 
   00017    0.4324   -7451.3101  0.3873 
   00018    0.4520   -7536.6618  0.3848 
   00019    0.4548   -7590.2907  0.3906 
   00020    0.4444   -7641.7996  0.3987 
   00021    0.4540   -7706.3795  0.3908 
   00022    0.4516   -7819.5037  0.3950 
   00023    0.4420   -7828.5419  0.3965 
   00024    0.4420   -7904.6592  0.4013 
   00025    0.4312   -7933.2751  0.4102 
   00026    0.4420   -7964.9045  0.4118 
   00027    0.4220   -8010.2492  0.4185 
   00028    0.4352   -7992.0573  0.4152 
   00029    0.4496   -8004.2789  0.4141 
   00030    0.4464   -8039.4097  0.4134 
   00031    0.4372   -8029.4908  0.4090 
   00032    0.4216   -8001.8241  0.4011 
   00033    0.4280   -7990.7986  0.4040 
   00034    0.4308   -7987.0532  0.3995 
   00035    0.4340   -7984.8948  0.4020 
   00036    0.4208   -8008.9549  0.4021 
   00037    0.4384   -8040.7838  0.4074 
   00038    0.4268   -8074.0149  0.4091 
   00039    0.4300   -8042.3032  0.4089 
   00040    0.4340   -8071.5213  0.4108 
   00041    0.4140   -8160.8068  0.4130 
   00042    0.4320   -8166.0685  0.4091 
   00043    0.4144   -8154.0162  0.4094 
   00044    0.4344   -8158.8817  0.4134 
   00045    0.4356   -8166.0747  0.4150 
   00046    0.4312   -8206.0927  0.4155 
   00047    0.4324   -8197.9087  0.4096 
   00048    0.4520   -8231.1373  0.4151 
   00049    0.4156   -8213.5929  0.4192 
   00050    0.4300   -8247.6280  0.4175 
