#=====================================================
# File created:        Sun-05-Nov-2023-at-03-09-18PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.552440
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2484.8321  0.2680 
   00001    0.6608   -3663.8374  0.2801 
   00002    0.6268   -4546.7708  0.2856 
   00003    0.5932   -5109.6737  0.2805 
   00004    0.5716   -5523.8548  0.2933 
   00005    0.5284   -5928.0161  0.2844 
   00006    0.5124   -6224.1271  0.2862 
   00007    0.5112   -6442.9650  0.2925 
   00008    0.4920   -6646.4935  0.2808 
   00009    0.5036   -6778.6394  0.2869 
   00010    0.4844   -6954.0563  0.2842 
   00011    0.4668   -7078.6700  0.2887 
   00012    0.4508   -7165.2903  0.2907 
   00013    0.4756   -7273.2221  0.2911 
   00014    0.4716   -7396.3334  0.2894 
   00015    0.4460   -7426.5114  0.2923 
   00016    0.4572   -7491.4749  0.2882 
   00017    0.4328   -7578.3821  0.2969 
   00018    0.4516   -7594.1950  0.3096 
   00019    0.4404   -7578.1357  0.3036 
   00020    0.4424   -7578.2672  0.2982 
   00021    0.4496   -7623.4549  0.3021 
   00022    0.4548   -7697.7351  0.3034 
   00023    0.4336   -7748.9545  0.2999 
   00024    0.4472   -7777.7988  0.3014 
   00025    0.4452   -7809.9718  0.2985 
   00026    0.4400   -7849.0073  0.2964 
   00027    0.4356   -7856.5187  0.2991 
   00028    0.4464   -7854.5376  0.2990 
   00029    0.4280   -7933.6430  0.2937 
   00030    0.4412   -7929.0259  0.2949 
   00031    0.4172   -7964.4620  0.2918 
   00032    0.4516   -7993.2750  0.2914 
   00033    0.4460   -7989.7598  0.2910 
   00034    0.4468   -8007.4804  0.2866 
   00035    0.4356   -8003.8894  0.2877 
   00036    0.4348   -7982.0811  0.2911 
   00037    0.4312   -7995.3834  0.2928 
   00038    0.4224   -8027.0135  0.2963 
   00039    0.4236   -8014.0826  0.3049 
   00040    0.4188   -8019.9195  0.3054 
   00041    0.4108   -8059.0829  0.2965 
   00042    0.4288   -8079.1827  0.3011 
   00043    0.4060   -8090.8369  0.2960 
   00044    0.4204   -8096.2707  0.2903 
   00045    0.4412   -8068.4400  0.2892 
   00046    0.4192   -8101.5303  0.2907 
   00047    0.4296   -8148.4489  0.2939 
   00048    0.4136   -8173.0056  0.2900 
   00049    0.4268   -8171.1414  0.2898 
   00050    0.4200   -8184.4734  0.2926 
