#=====================================================
# File created:        Sun-05-Nov-2023-at-04-04-40PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.276637
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2632.4325  0.2619 
   00001    0.6672   -3838.3438  0.2780 
   00002    0.6136   -4590.9663  0.2750 
   00003    0.5808   -5172.2458  0.2748 
   00004    0.5432   -5625.0016  0.2786 
   00005    0.5220   -5985.6501  0.2760 
   00006    0.5208   -6297.9681  0.2711 
   00007    0.5124   -6529.6880  0.2780 
   00008    0.4936   -6723.8543  0.2778 
   00009    0.4776   -6916.3913  0.2790 
   00010    0.4700   -7044.6986  0.2774 
   00011    0.4792   -7109.1790  0.2795 
   00012    0.4720   -7174.0443  0.2757 
   00013    0.4732   -7219.0805  0.2779 
   00014    0.4516   -7300.4335  0.2768 
   00015    0.4512   -7381.9542  0.2781 
   00016    0.4596   -7460.1158  0.2832 
   00017    0.4472   -7455.5014  0.2909 
   00018    0.4372   -7518.4601  0.2878 
   00019    0.4608   -7557.0692  0.2906 
   00020    0.4612   -7558.7459  0.3019 
   00021    0.4400   -7591.2282  0.2987 
   00022    0.4556   -7640.3632  0.3031 
   00023    0.4392   -7670.6071  0.3067 
   00024    0.4500   -7689.9262  0.3138 
   00025    0.4412   -7740.9103  0.3173 
   00026    0.4392   -7761.8546  0.3183 
   00027    0.4560   -7766.4625  0.3206 
   00028    0.4420   -7775.0589  0.3251 
   00029    0.4404   -7805.0939  0.3309 
   00030    0.4312   -7802.1663  0.3288 
   00031    0.4372   -7853.9852  0.3245 
   00032    0.4428   -7887.7246  0.3221 
   00033    0.4456   -7880.4253  0.3307 
   00034    0.4556   -7904.2063  0.3303 
   00035    0.4296   -7969.1597  0.3383 
   00036    0.4368   -7940.4111  0.3351 
   00037    0.4180   -7939.9851  0.3385 
   00038    0.4152   -7952.4643  0.3448 
   00039    0.4244   -7937.2831  0.3464 
   00040    0.4368   -7933.5763  0.3447 
   00041    0.4516   -7975.5820  0.3452 
   00042    0.4368   -8018.8774  0.3524 
   00043    0.4428   -8031.0686  0.3530 
   00044    0.4336   -8045.6250  0.3539 
   00045    0.4148   -8038.2807  0.3595 
   00046    0.4184   -8023.2229  0.3588 
   00047    0.4160   -8024.7661  0.3596 
   00048    0.4352   -8062.2956  0.3528 
   00049    0.4360   -8093.9719  0.3608 
   00050    0.4400   -8080.7849  0.3653 
