#=====================================================
# File created:        Sun-05-Nov-2023-at-03-09-32PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.988057
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2508.9866  0.2638 
   00001    0.6864   -3759.7475  0.2680 
   00002    0.6244   -4551.8240  0.2625 
   00003    0.6036   -5064.2752  0.2636 
   00004    0.5752   -5464.3718  0.2675 
   00005    0.5168   -5767.6244  0.2715 
   00006    0.5156   -6098.6693  0.2809 
   00007    0.5140   -6349.2144  0.2835 
   00008    0.4948   -6525.8855  0.2926 
   00009    0.4768   -6721.1577  0.2999 
   00010    0.4796   -6911.0816  0.2926 
   00011    0.4796   -7034.5386  0.2902 
   00012    0.4536   -7225.5918  0.2914 
   00013    0.4620   -7301.7131  0.2945 
   00014    0.4556   -7344.9801  0.3023 
   00015    0.4652   -7436.0513  0.3134 
   00016    0.4712   -7499.9890  0.3099 
   00017    0.4588   -7582.6631  0.3044 
   00018    0.4632   -7585.8589  0.3080 
   00019    0.4320   -7643.2794  0.3100 
   00020    0.4416   -7696.6391  0.3157 
   00021    0.4516   -7711.8850  0.3130 
   00022    0.4456   -7671.0210  0.3167 
   00023    0.4296   -7704.3784  0.3217 
   00024    0.4428   -7747.6353  0.3240 
   00025    0.4460   -7817.9925  0.3272 
   00026    0.4256   -7813.3610  0.3346 
   00027    0.4408   -7820.8864  0.3242 
   00028    0.4360   -7902.2203  0.3244 
   00029    0.4284   -7911.4466  0.3305 
   00030    0.4412   -7874.6994  0.3258 
   00031    0.4344   -7869.1166  0.3239 
   00032    0.4392   -7879.8415  0.3191 
   00033    0.4400   -7887.1936  0.3187 
   00034    0.4336   -7941.2739  0.3215 
   00035    0.4348   -8006.5158  0.3221 
   00036    0.4176   -8046.6505  0.3225 
   00037    0.4056   -8051.7621  0.3225 
   00038    0.4308   -8052.6792  0.3263 
   00039    0.4436   -8018.2419  0.3268 
   00040    0.4324   -8003.6296  0.3313 
   00041    0.4308   -8026.6058  0.3369 
   00042    0.4152   -8000.2827  0.3399 
   00043    0.4424   -7997.6102  0.3419 
   00044    0.4164   -8016.2155  0.3432 
   00045    0.4200   -8052.1989  0.3448 
   00046    0.4284   -8112.1857  0.3553 
   00047    0.4160   -8121.9296  0.3586 
   00048    0.4280   -8133.0488  0.3666 
   00049    0.4228   -8056.6062  0.3693 
   00050    0.4452   -8057.7925  0.3663 
