#=====================================================
# File created:        Sun-05-Nov-2023-at-04-04-49PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.688967
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2394.5798  0.2621 
   00001    0.6748   -3669.5317  0.2904 
   00002    0.6184   -4523.5582  0.2961 
   00003    0.5848   -5123.1661  0.2956 
   00004    0.5480   -5579.0815  0.3094 
   00005    0.5376   -5911.2157  0.3314 
   00006    0.5340   -6197.5863  0.3339 
   00007    0.5036   -6423.8254  0.3464 
   00008    0.4860   -6673.9749  0.3571 
   00009    0.4832   -6806.3094  0.3594 
   00010    0.4872   -6906.2130  0.3630 
   00011    0.4800   -7010.1633  0.3596 
   00012    0.4544   -7142.5489  0.3632 
   00013    0.4684   -7278.2333  0.3695 
   00014    0.4440   -7327.0158  0.3711 
   00015    0.4608   -7409.8485  0.3740 
   00016    0.4784   -7471.2830  0.3775 
   00017    0.4452   -7431.4953  0.3760 
   00018    0.4612   -7478.2218  0.3782 
   00019    0.4664   -7591.0353  0.3851 
   00020    0.4436   -7575.9068  0.3903 
   00021    0.4380   -7620.7788  0.3890 
   00022    0.4576   -7638.3604  0.3924 
   00023    0.4612   -7674.4971  0.3956 
   00024    0.4424   -7701.0805  0.3988 
   00025    0.4488   -7777.7796  0.3978 
   00026    0.4688   -7757.8968  0.3983 
   00027    0.4332   -7822.1039  0.4029 
   00028    0.4472   -7838.4367  0.4029 
   00029    0.4580   -7858.2551  0.4050 
   00030    0.4320   -7865.6500  0.4025 
   00031    0.4536   -7902.7071  0.4065 
   00032    0.4500   -7944.6909  0.4041 
   00033    0.4316   -7920.9141  0.4059 
   00034    0.4272   -7945.0597  0.4061 
   00035    0.4364   -7957.1398  0.4076 
   00036    0.4400   -7944.7645  0.4094 
   00037    0.4296   -7997.2244  0.4103 
   00038    0.4372   -8041.0863  0.4115 
   00039    0.4212   -8053.8538  0.4179 
   00040    0.4192   -8021.2379  0.4317 
   00041    0.4284   -8083.3255  0.4353 
   00042    0.4408   -8106.1060  0.4338 
   00043    0.4216   -8095.4837  0.4426 
   00044    0.4316   -8154.1501  0.4449 
   00045    0.4096   -8195.1713  0.4433 
   00046    0.4276   -8227.2276  0.4512 
   00047    0.4064   -8213.9508  0.4552 
   00048    0.4140   -8248.5835  0.4590 
   00049    0.4136   -8242.4167  0.4625 
   00050    0.4276   -8251.0501  0.4634 
