#=====================================================
# File created:        Sun-05-Nov-2023-at-04-05-04PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.922208
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2560.4518  0.2580 
   00001    0.6568   -3632.3410  0.2640 
   00002    0.6400   -4425.5128  0.2617 
   00003    0.5956   -5004.3629  0.2649 
   00004    0.5656   -5430.5161  0.2674 
   00005    0.5292   -5836.5355  0.2791 
   00006    0.5192   -6093.3016  0.2762 
   00007    0.4864   -6356.5032  0.2761 
   00008    0.4880   -6553.7542  0.2779 
   00009    0.5072   -6775.1554  0.2753 
   00010    0.4816   -6940.8310  0.2855 
   00011    0.4532   -7052.1566  0.2863 
   00012    0.4612   -7159.5695  0.2923 
   00013    0.4844   -7223.7554  0.2957 
   00014    0.4624   -7316.5887  0.2940 
   00015    0.4600   -7434.8845  0.2940 
   00016    0.4356   -7482.3461  0.2936 
   00017    0.4520   -7550.7500  0.2917 
   00018    0.4440   -7597.1188  0.2898 
   00019    0.4384   -7656.4840  0.3019 
   00020    0.4268   -7691.3964  0.3017 
   00021    0.4388   -7717.1551  0.3077 
   00022    0.4344   -7796.0068  0.3111 
   00023    0.4340   -7826.0423  0.3127 
   00024    0.4440   -7775.5366  0.3155 
   00025    0.4272   -7832.5966  0.3197 
   00026    0.4408   -7877.6794  0.3204 
   00027    0.4148   -7949.6613  0.3289 
   00028    0.4412   -7937.0121  0.3305 
   00029    0.4212   -7953.4780  0.3324 
   00030    0.4500   -7992.8153  0.3313 
   00031    0.4316   -8010.0661  0.3357 
   00032    0.4316   -8044.0275  0.3331 
   00033    0.4336   -7998.7109  0.3418 
   00034    0.4296   -8013.1046  0.3391 
   00035    0.4400   -7976.4670  0.3436 
   00036    0.4348   -7966.4924  0.3606 
   00037    0.4272   -8051.4495  0.3619 
   00038    0.4332   -8072.6386  0.3568 
   00039    0.4192   -8102.0359  0.3605 
   00040    0.4048   -8067.2240  0.3590 
   00041    0.4056   -8081.9419  0.3542 
   00042    0.4436   -8092.3906  0.3575 
   00043    0.4056   -8147.9272  0.3663 
   00044    0.4196   -8205.1600  0.3643 
   00045    0.4260   -8210.7140  0.3607 
   00046    0.4108   -8230.5543  0.3597 
   00047    0.4048   -8231.5951  0.3657 
   00048    0.4164   -8256.2577  0.3663 
   00049    0.4180   -8285.6231  0.3665 
   00050    0.4076   -8244.7795  0.3653 
