#=====================================================
# File created:        Sun-05-Nov-2023-at-03-09-06PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.399293
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2523.2348  0.2564 
   00001    0.6796   -3752.9831  0.2635 
   00002    0.6120   -4481.2031  0.2782 
   00003    0.5852   -4934.6814  0.2908 
   00004    0.5612   -5376.6703  0.2928 
   00005    0.5444   -5720.6597  0.2890 
   00006    0.5232   -6063.0494  0.2982 
   00007    0.4948   -6270.8026  0.3004 
   00008    0.5108   -6491.2329  0.3080 
   00009    0.4936   -6703.2152  0.3169 
   00010    0.4732   -6822.6151  0.3122 
   00011    0.4828   -6928.2364  0.3185 
   00012    0.4732   -7012.3299  0.3203 
   00013    0.4704   -7104.1616  0.3304 
   00014    0.4720   -7197.5501  0.3378 
   00015    0.4796   -7237.5178  0.3376 
   00016    0.4608   -7298.7717  0.3391 
   00017    0.4580   -7332.1914  0.3461 
   00018    0.4568   -7420.2405  0.3426 
   00019    0.4520   -7440.4115  0.3395 
   00020    0.4648   -7468.9850  0.3493 
   00021    0.4512   -7518.2009  0.3550 
   00022    0.4532   -7598.6976  0.3587 
   00023    0.4440   -7578.6269  0.3665 
   00024    0.4504   -7619.7459  0.3713 
   00025    0.4396   -7651.2980  0.3715 
   00026    0.4464   -7645.5811  0.3651 
   00027    0.4492   -7618.3390  0.3645 
   00028    0.4416   -7604.3361  0.3637 
   00029    0.4532   -7649.8027  0.3613 
   00030    0.4476   -7717.3886  0.3659 
   00031    0.4476   -7786.9267  0.3673 
   00032    0.4432   -7816.3909  0.3688 
   00033    0.4508   -7762.0097  0.3777 
   00034    0.4560   -7794.4429  0.3812 
   00035    0.4148   -7854.8843  0.3835 
   00036    0.4208   -7878.3944  0.3850 
   00037    0.4396   -7917.4851  0.3843 
   00038    0.4184   -7947.6028  0.3888 
   00039    0.4280   -7942.2524  0.3868 
   00040    0.4172   -7954.9940  0.3890 
   00041    0.4324   -7991.4815  0.3882 
   00042    0.4300   -8002.3908  0.3831 
   00043    0.4268   -8018.0875  0.3824 
   00044    0.4304   -7984.9718  0.3841 
   00045    0.4376   -7996.1432  0.3851 
   00046    0.4268   -7941.6614  0.3806 
   00047    0.4296   -7985.2507  0.3907 
   00048    0.4056   -8018.7855  0.3915 
   00049    0.4420   -8012.7407  0.3958 
   00050    0.4396   -8004.8504  0.3942 
